# Source: http://celex.mpi.nl/ with unknown license

#-----------------------------------------------------------------------
# test that we can override the stemming algorithm with our own mappings
# these must be tab-separated
# monkeys	monkey
# otters	otter
# some crazy ones that a stemmer would never do
# dogs	cat
a-al-tolletjes	a-al-tol
aanbraad	aanbraad
aanbraadde	aanbraad
aanbraadden	aanbraad
aanbraadt	aanbraad
aanbracht	aanbreng
aanbrachten	aanbreng
aanbraden	aanbraad
aanbradend	aanbraad
aanbradende	aanbraad
aanbrak	aanbreek
aanbraken	aanbreek
aanbrandt	aanbrand
aanbrassen	aanbras
aanbrassend	aanbras
aanbrassende	aanbras
aanbrast	aanbras
aanbraste	aanbras
aanbrasten	aanbras
aanbreek	aanbreek
aanbreekt	aanbreek
aanbreide	aanbrei
aanbreiden	aanbrei
aanbreit	aanbrei
aanbreken	aanbreek
aanbrekend	aanbreek
aanbrekende	aanbreek
aanbrenging	aanbrenging
aanbrengpremies	aanbrengpremie
aanbrengt	aanbreng
aanbriest	aanbries
aanbrieste	aanbries
aanbriesten	aanbries
aanbruggen	aanbrug
aanbruist	aanbruis
aanbruiste	aanbruis
aanbruisten	aanbruis
aanbrulde	aanbrul
aanbrulden	aanbrul
aanbrullen	aanbrul
aanbrullend	aanbrul
aanbrullende	aanbrul
aanbrult	aanbrul
aanbulderde	aanbulder
aanbulderden	aanbulder
aanbuldert	aanbulder
aandachtig	aandachtig
aandachtige	aandachtig
aandachtiger	aandachtig
aandachtigere	aandachtig
aandachtigheid	aandachtigheid
aandachtigst	aandachtig
aandachtigste	aandachtig
aandachtseenheid	aandachtseenheid
aandachtsprocessen	aandachtsproces
aandachtsstreep	aandachtsstreep
aandachtsstreepje	aandachtsstreep
aandachtsstreepjes	aandachtsstreep
aandachtsstrepen	aandachtsstreep
aandachtsteken	aandachtsteken
aandamde	aandam
aandamden	aandam
aandammen	aandam
aandammend	aandam
aandammende	aandam
aandamming	aandamming
aandammingen	aandamming
aandamt	aandam
aandeden	aandoe
aandeed	aandoe
aandeel	aandeel
aandeelbewijs	aandeelbewijz
aandeelhoudersvergadering	aandeelhoudersvergadering
aandeelhoudersvergaderingen	aandeelhoudersvergadering
aandelen	aandeel
aandelenkapitaal	aandelenkapitaal
aandelenkapitalen	aandelenkapitaal
aandelenopties	aandelenoptie
aandelenportefeuille	aandelenportefeuille
aandenken	aandenken
aandiende	aandien
aandienden	aandien
aandient	aandien
aandiept	aandiep
aandiepte	aandiep
aandiepten	aandiep
aandijking	aandijking
aandijkingen	aandijking
aandijkt	aandijk
aandijkte	aandijk
aandijkten	aandijk
aandikt	aandik
aandikte	aandik
aandikten	aandik
aandoen	aandoe
aandoend	aandoe
aandoende	aandoe
aandoening	aandoening
aandoeningen	aandoening
aandoenlijk	aandoenlijk
aandoenlijke	aandoenlijk
aandoenlijker	aandoenlijk
aandoenlijkere	aandoenlijk
aandoenlijkheid	aandoenlijkheid
aandoenlijkst	aandoenlijk
aandoenlijkste	aandoenlijk
aandoet	aandoe
aandorst	aandurv
aandorsten	aandurv
aandraaf	aandraav
aandraafde	aandraav
aandraafden	aandraav
aandraaft	aandraav
aandraag	aandraag
aandraagt	aandraag
aandraaide	aandraai
aandraaiden	aandraai
aandraait	aandraai
aandragen	aandraag
aandragend	aandraag
aandragende	aandraag
aandraven	aandraav
aandravend	aandraav
aandravende	aandraav
aandreef	aandrijv
aandrentelde	aandrentel
aandrentelden	aandrentel
aandrentelt	aandrentel
aandreven	aandrijv
aandrijf	aandrijv
aandrijfassen	aandrijfas
aandrijfketting	aandrijfketting
aandrijfsysteem	aandrijfsysteem
aandrijfsystemen	aandrijfsysteem
aandrijft	aandrijv
aandrijving	aandrijving
aandrijvingen	aandrijving
aandringt	aandring
aandroeg	aandraag
aandroegen	aandraag
aandrong	aandring
aandrongen	aandring
aandruist	aandruis
aandruiste	aandruis
aandruisten	aandruis
aandrukt	aandruk
aandrukte	aandruk
aandrukten	aandruk
aanduiding	aanduiding
aanduidingen	aanduiding
aanduidt	aanduid
aandurf	aandurv
aandurfde	aandurv
aandurfden	aandurv
aandurft	aandurv
aanduwde	aanduw
aanduwden	aanduw
aanduwt	aanduw
aandweilde	aandweil
aandweilden	aandweil
aandweilt	aandweil
aaneen	aaneen
aaneenbindt	aaneenbind
aaneenbond	aaneenbind
aaneenbonden	aaneenbind
aaneenbracht	aaneenbreng
aaneenbrachten	aaneenbreng
aaneenbrengt	aaneenbreng
aaneendriegde	aaneendrieg
aaneendriegden	aaneendrieg
aaneendriegt	aaneendrieg
aaneenflans	aaneenflans
aaneenflanst	aaneenflans
aaneenflanste	aaneenflans
aaneenflansten	aaneenflans
aaneengebonden	aaneenbind
aaneengeboren	aaneengeboren
aaneengebracht	aaneenbreng
aaneengebrachte	aaneenbreng
aaneengedriegd	aaneendrieg
aaneengedriegde	aaneendrieg
aaneengeflanst	aaneenflans
aaneengeflanste	aaneenflans
aaneengegrensd	aaneengrenz
aaneengegroeid	aaneengroei
aaneengegroeide	aaneengroei
aaneengehaakt	aaneenhaak
aaneengehaakte	aaneenhaak
aaneengehangen	aaneenhang
aaneengehecht	aaneenhecht
aaneengehechte	aaneenhecht
aaneengehouden	aaneenhoud
aaneengeketend	aaneenketen
aaneengeketende	aaneenketen
aaneengekleefd	aaneenkleev
aaneengeklonken	aaneenklink
aaneengekluisterd	aaneenkluister
aaneengekluisterde	aaneenkluister
aaneengeknoopt	aaneenknoop
aaneengeknoopte	aaneenknoop
aaneengekoekt	aaneenkoek
aaneengekoekte	aaneenkoek
aaneengekoppeld	aaneenkoppel
aaneengekoppelde	aaneenkoppel
aaneengelijmd	aaneenlijm
aaneengelijmde	aaneenlijm
aaneengenaaid	aaneennaai
aaneengenaaide	aaneennaai
aaneengepast	aaneenpas
aaneengepaste	aaneenpas
aaneengeplakt	aaneenplak
aaneengeplakte	aaneenplak
aaneengeregen	aaneenrijg
aaneengeschreven	aaneenschrijv
aaneengesloten	aaneengesloten
aaneengesmede	aaneensmeed
aaneengesmeed	aaneensmeed
aaneengespijkerd	aaneenspijker
aaneengespijkerde	aaneenspijker
aaneengevoegd	aaneenvoeg
aaneengevoegde	aaneenvoeg
aaneengezet	aaneenzet
aaneengezeten	aaneenzit
aaneengezette	aaneenzet
aaneengrens	aaneengrenz
aaneengrensde	aaneengrenz
aaneengrensden	aaneengrenz
aaneengrenst	aaneengrenz
aaneengroeide	aaneengroei
aaneengroeiden	aaneengroei
aaneengroeiing	aaneengroeiing
aaneengroeiingen	aaneengroeiing
aaneengroeit	aaneengroei
aaneenhaak	aaneenhaak
aaneenhaakt	aaneenhaak
aaneenhaakte	aaneenhaak
aaneenhaakten	aaneenhaak
aaneenhaken	aaneenhaak
aaneenhakend	aaneenhaak
aaneenhakende	aaneenhaak
aaneenhangt	aaneenhang
aaneenhield	aaneenhoud
aaneenhielden	aaneenhoud
aaneenhing	aaneenhang
aaneenhingen	aaneenhang
aaneenhoudt	aaneenhoud
aaneenketen	aaneenketen
aaneenketende	aaneenketen
aaneenketenden	aaneenketen
aaneenketent	aaneenketen
aaneenkleef	aaneenkleev
aaneenkleefde	aaneenkleev
aaneenkleefden	aaneenkleev
aaneenkleeft	aaneenkleev
aaneenkleven	aaneenkleev
aaneenklevend	aaneenkleev
aaneenklevende	aaneenkleev
aaneenklinkt	aaneenklink
aaneenklonk	aaneenklink
aaneenklonken	aaneenklink
aaneenkluisterde	aaneenkluister
aaneenkluisterden	aaneenkluister
aaneenkluistert	aaneenkluister
aaneenknoop	aaneenknoop
aaneenknoopt	aaneenknoop
aaneenknoopte	aaneenknoop
aaneenknoopten	aaneenknoop
aaneenknopen	aaneenknoop
aaneenknopend	aaneenknoop
aaneenknopende	aaneenknoop
aaneenkoekt	aaneenkoek
aaneenkoekte	aaneenkoek
aaneenkoekten	aaneenkoek
aaneenkoppelde	aaneenkoppel
aaneenkoppelden	aaneenkoppel
aaneenkoppeling	aaneenkoppeling
aaneenkoppelingen	aaneenkoppeling
aaneenkoppelt	aaneenkoppel
aaneenlijmde	aaneenlijm
aaneenlijmden	aaneenlijm
aaneenlijmt	aaneenlijm
aaneennaaide	aaneennaai
aaneennaaiden	aaneennaai
aaneennaait	aaneennaai
aaneenpassen	aaneenpas
aaneenpassend	aaneenpas
aaneenpassende	aaneenpas
aaneenpast	aaneenpas
aaneenpaste	aaneenpas
aaneenpasten	aaneenpas
aaneenplakt	aaneenplak
aaneenplakte	aaneenplak
aaneenplakten	aaneenplak
aaneenreeg	aaneenrijg
aaneenregen	aaneenrijg
aaneenrijging	aaneenrijging
aaneenrijgt	aaneenrijg
aaneenschakelde	aaneenschakel
aaneenschakelden	aaneenschakel
aaneenschakeling	aaneenschakeling
aaneenschakelingen	aaneenschakeling
aaneenschakelt	aaneenschakel
aaneenschreef	aaneenschrijv
aaneenschreven	aaneenschrijv
aaneenschrijf	aaneenschrijv
aaneenschrijft	aaneenschrijv
aaneensloot	aaneensluit
aaneensloten	aaneensluit
aaneensluiting	aaneensluiting
aaneensmeden	aaneensmeed
aaneensmedend	aaneensmeed
aaneensmedende	aaneensmeed
aaneensmeed	aaneensmeed
aaneensmeedde	aaneensmeed
aaneensmeedden	aaneensmeed
aaneensmeedt	aaneensmeed
aaneenspijkerde	aaneenspijker
aaneenspijkerden	aaneenspijker
aaneenspijkert	aaneenspijker
aaneenvoegde	aaneenvoeg
aaneenvoegden	aaneenvoeg
aaneenvoeging	aaneenvoeging
aaneenvoegingen	aaneenvoeging
aaneenvoegt	aaneenvoeg
aaneenzat	aaneenzit
aaneenzaten	aaneenzit
aanerf	aanerv
aanerfde	aanerv
aanerfden	aanerv
aanerft	aanerv
aanfiets	aanfiets
aanfietst	aanfiets
aanfietste	aanfiets
aanfietsten	aanfiets
aanflits	aanflits
aanflitst	aanflits
aanflitste	aanflits
aanflitsten	aanflits
aanfloept	aanfloep
aanfloepte	aanfloep
aanfloepten	aanfloep
aanfloot	aanfluit
aanfloten	aanfluit
aanfluiting	aanfluiting
aanfluitingen	aanfluiting
aanfokking	aanfokking
aanfokkingen	aanfokking
aanfokt	aanfok
aanfokte	aanfok
aanfokten	aanfok
aangaan	aanga
aangaand	aanga
aangaande	aangaande
aangaap	aangaap
aangaapt	aangaap
aangaapte	aangaap
aangaapten	aangaap
aangaat	aanga
aangaf	aangeev
aangapen	aangaap
aangapend	aangaap
aangapende	aangaap
aangaven	aangeev
aangeaard	aanaard
aangeaarde	aanaard
aangebakken	aanbak
aangebeden	aanbid
aangebedene	aangebedene
aangebedenen	aangebedene
aangebeend	aanbeen
aangebeld	aanbel
aangebermd	aanberm
aangebermde	aanberm
aangebeten	aanbijt
aangebeterd	aanbeter
aangebeterde	aanbeter
aangebikt	aanbik
aangebikte	aanbik
aangeblaft	aanblaf
aangeblafte	aanblaf
aangeblazen	aanblaaz
aangebleven	aanblijv
aangeblikt	aanblik
aangeblikte	aanblik
aangeboden	aanbied
aangeboekt	aanboek
aangeboekte	aanboek
aangebonden	aangebonden
aangebonsd	aanbonz
aangebonsde	aanbonz
aangeboord	aanboor
aangeboorde	aanboor
aangeboren	aangeboren
aangeborenheid	aangeborenheid
aangebotst	aanbots
aangebotste	aanbots
aangebouwd	aanbouw
aangebouwde	aanbouw
aangebracht	aanbreng
aangebrachte	aanbreng
aangebraden	aanbraad
aangebrand	aanbrand
aangebrande	aanbrand
aangebrast	aanbras
aangebreid	aanbrei
aangebreide	aanbrei
aangebriest	aanbries
aangebrieste	aanbries
aangebroken	aanbreek
aangebruist	aanbruis
aangebruiste	aanbruis
aangebruld	aanbrul
aangebrulde	aanbrul
aangebulderd	aanbulder
aangebulderde	aanbulder
aangedaan	aangedaan
aangedamd	aandam
aangedamde	aandam
aangedane	aandoe
aangediend	aandien
aangediende	aandien
aangediept	aandiep
aangediepte	aandiep
aangedijkt	aandijk
aangedijkte	aandijk
aangedikt	aandik
aangedikte	aandik
aangedraafd	aandraav
aangedraafde	aandraav
aangedraaid	aandraai
aangedraaide	aandraai
aangedragen	aandraag
aangedrenteld	aandrentel
aangedrentelde	aandrentel
aangedreven	aandrijv
aangedrongen	aandring
aangedruist	aandruis
aangedrukt	aandruk
aangedrukte	aandruk
aangeduid	aanduid
aangeduide	aanduid
aangedurfd	aandurv
aangedurfde	aandurv
aangeduwd	aanduw
aangeduwde	aanduw
aangedweild	aandweil
aangedweilde	aandweil
aangeef	aangeev
aangeeft	aangeev
aangeerfd	aanerv
aangeerfde	aanerv
aangefietst	aanfiets
aangefietste	aanfiets
aangeflitst	aanflits
aangeflitste	aanflits
aangefloept	aanfloep
aangefloepte	aanfloep
aangefloten	aanfluit
aangefokt	aanfok
aangefokte	aanfok
aangefruit	aanfruit
aangefruite	aanfruit
aangegaan	aanga
aangegaapt	aangaap
aangegaapte	aangaap
aangegane	aanga
aangegespt	aangesp
aangegespte	aangesp
aangegeven	aangeev
aangegierd	aangier
aangegierde	aangier
aangegloeid	aangloei
aangegloeide	aangloei
aangeglommen	aanglim
aangegluurd	aangluur
aangegluurde	aangluur
aangegolfd	aangolv
aangegolfde	aangolv
aangegord	aangord
aangegorde	aangord
aangegoten	aangiet
aangegrauwd	aangrauw
aangegrauwde	aangrauw
aangegraven	aangraav
aangegrepen	aangrijp
aangegrijnsd	aangrijnz
aangegrijnsde	aangrijnz
aangegrimd	aangrim
aangegrimde	aangrim
aangegrinnikt	aangrinnik
aangegrinnikte	aangrinnik
aangegroeid	aangroei
aangegroeide	aangroei
aangegromd	aangrom
aangegromde	aangrom
aangehaakt	aanhaak
aangehaakte	aanhaak
aangehaald	aanhaal
aangehaalde	aanhaal
aangehad	aanheb
aangehangen	aanhang
aangehard	aanhard
aangeharde	aanhard
aangeharkt	aanhark
aangeharkte	aanhark
aangehecht	aanhecht
aangehechte	aanhecht
aangeheven	aanhef
aangehikt	aanhik
aangehinkt	aanhink
aangehinkte	aanhink
aangehitst	aanhits
aangehitste	aanhits
aangehobbeld	aanhobbel
aangehold	aanhol
aangeholde	aanhol
aangehoopt	aanhoop
aangehoopte	aanhoop
aangehoord	aanhoor
aangehoorde	aanhoor
aangehouden	aanhoud
aangehuppeld	aanhuppel
aangehuppelde	aanhuppel
aangejaagd	aanjaag
aangejaagde	aanjaag
aangekaart	aankaart
aangekaarte	aankaart
aangekakt	aankak
aangekalkt	aankalk
aangekalkte	aankalk
aangekant	aankant
aangekante	aankant
aangekapt	aankap
aangekapte	aankap
aangekeft	aankef
aangekefte	aankef
aangekeken	aankijk
aangekerfd	aankerv
aangeklaagd	aanklaag
aangeklaagde	aangeklaagde
aangeklaagden	aangeklaagde
aangeklampt	aanklamp
aangeklampte	aanklamp
aangeklede	aangekleed
aangekleed	aankleed
aangekleefd	aankleev
aangeklemd	aanklem
aangeklemde	aanklem
aangeklonken	aanklink
aangeklopt	aanklop
aangeklost	aanklos
aangekloste	aanklos
aangeklotst	aanklots
aangeklotste	aanklots
aangeknipt	aanknip
aangeknipte	aanknip
aangeknoeid	aanknoei
aangeknoopt	aanknoop
aangeknoopte	aanknoop
aangekocht	aankoop
aangekochte	aankoop
aangekoekt	aankoek
aangekoekte	aankoek
aangekomen	aankom
aangekondigd	aankondig
aangekondigde	aankondig
aangekooid	aankooi
aangekooide	aankooi
aangekoppeld	aankoppel
aangekoppelde	aankoppel
aangekorst	aankorst
aangekorste	aankorst
aangekorven	aankerv
aangekramd	aankram
aangekramde	aankram
aangekregen	aankrijg
aangekruid	aankrui
aangekruide	aankrui
aangekruist	aankruis
aangekruiste	aankruis
aangekund	aankan
aangekweekt	aankweek
aangekweekte	aankweek
aangelachen	aanlach
aangeladen	aanlaad
aangeland	aanland
aangelande	aangelande
aangelanden	aangelande
aangelangd	aanlang
aangelangde	aanlang
aangelapt	aanlap
aangelapte	aanlap
aangelast	aanlas
aangelaste	aanlas
aangelegen	aanlig
aangelegenheden	aangelegenheid
aangelegenheid	aangelegenheid
aangelengd	aanleng
aangelengde	aanleng
aangelicht	aanlicht
aangelichte	aanlicht
aangelijkt	aanlijk
aangelijkte	aanlijk
aangelijmd	aanlijm
aangelijmde	aanlijm
aangelijnd	aanlijn
aangelijnde	aanlijn
aangeloefd	aanloev
aangeloefde	aanloev
aangeloeid	aanloei
aangeloeide	aanloei
aangeloerd	aanloer
aangeloerde	aanloer
aangelokt	aanlok
aangelokte	aanlok
aangelonkt	aanlonk
aangelonkte	aanlonk
aangelood	aanlood
aangelopen	aanloop
aangemaakt	aanmaak
aangemaakte	aanmaak
aangemaand	aanmaan
aangemaande	aanmaan
aangemarcheerd	aanmarcheer
aangemarcheerde	aanmarcheer
aangematigd	aanmatig
aangematigde	aanmatig
aangemeerd	aanmeer
aangemeerde	aanmeer
aangemeld	aanmeld
aangemelde	aanmeld
aangemengd	aanmeng
aangemengde	aanmeng
aangemerkt	aanmerk
aangemerkte	aanmerk
aangemeten	aanmeet
aangemodderd	aanmodder
aangemoedigd	aanmoedig
aangemoedigde	aanmoedig
aangemonsterd	aanmonster
aangemonsterde	aanmonster
aangemunt	aanmunt
aangemunte	aanmunt
aangenaaid	aannaai
aangenaaide	aannaai
aangenaam	aangenaam
aangenaamheid	aangenaamheid
aangenaamst	aangenaam
aangenaamste	aangenaam
aangenageld	aannagel
aangenagelde	aannagel
aangename	aangenaam
aangenamer	aangenaam
aangenamere	aangenaam
aangenomen	aangenomen
aangepakt	aanpak
aangepakte	aanpak
aangepapt	aanpap
aangepaste	aanpas
aangepaster	aangepast
aangepastere	aangepast
aangepeesd	aanpeez
aangeperst	aanpers
aangeperste	aanpers
aangepikt	aanpik
aangepikte	aanpik
aangeplakt	aanplak
aangeplakte	aanplak
aangeplant	aanplant
aangeplante	aanplant
aangeplempt	aanplemp
aangeplempte	aanplemp
aangeploegd	aanploeg
aangeploegde	aanploeg
aangepoot	aanpoot
aangepord	aanpor
aangeporde	aanpor
aangepote	aanpoot
aangepraat	aanpraat
aangeprate	aanpraat
aangepreekt	aanpreek
aangepreekte	aanpreek
aangeprezen	aanprijz
aangeprikkeld	aanprikkel
aangeprikkelde	aanprikkel
aangeprikt	aanprik
aangeprikte	aanprik
aangepunt	aanpunt
aangepunte	aanpunt
aangeraakt	aanraak
aangeraakte	aanraak
aangeraasd	aanraaz
aangeraasde	aanraaz
aangeraden	aanraad
aangerand	aanrand
aangerande	aanrand
aangerazeerd	aanrazeer
aangerazeerde	aanrazeer
aangerecht	aanrecht
aangerechte	aanrecht
aangereden	aanrijd
aangeregen	aanrijg
aangereikt	aanreik
aangereikte	aanreik
aangerekend	aanreken
aangerekende	aanreken
aangerend	aanren
aangericht	aanricht
aangerichte	aanricht
aangerijpt	aanrijp
aangerijpte	aanrijp
aangerist	aanris
aangeriste	aanris
aangeroeid	aanroei
aangeroeide	aanroei
aangeroepen	aanroep
aangeroerd	aanroer
aangeroerde	aanroer
aangeroest	aanroest
aangeroeste	aanroest
aangerold	aanrol
aangerolde	aanrol
aangerommeld	aanrommel
aangerookt	aanrook
aangerookte	aanrook
aangeruist	aanruis
aangeruiste	aanruis
aangerukt	aanruk
aangerukte	aanruk
aangeschaft	aanschaf
aangeschafte	aanschaf
aangeschakeld	aanschakel
aangeschakelde	aanschakel
aangescharreld	aanscharrel
aangescharrelde	aanscharrel
aangescheld	aanschel
aangescherpt	aanscherp
aangescherpte	aanscherp
aangeschikt	aanschik
aangeschoffeld	aanschoffel
aangeschoffelde	aanschoffel
aangeschopt	aanschop
aangeschoten	aangeschoten
aangeschouwd	aanschouw
aangeschoven	aanschuiv
aangeschrapt	aanschrap
aangeschrapte	aanschrap
aangeschreden	aanschrijd
aangeschreven	aangeschreven
aangeschroefd	aanschroev
aangeschroefde	aanschroev
aangeschuind	aanschuin
aangeschuinde	aanschuin
aangesjokt	aansjok
aangesjokte	aansjok
aangesjord	aansjor
aangesjorde	aansjor
aangesjouwd	aansjouw
aangesjouwde	aansjouw
aangeslagen	aangeslagen
aangesleept	aansleep
aangesleepte	aansleep
aangeslenterd	aanslenter
aangeslenterde	aanslenter
aangeslepen	aanslijp
aangesleurd	aansleur
aangesleurde	aansleur
aangeslibd	aanslib
aangeslibde	aanslib
aangeslijkt	aanslijk
aangeslijkte	aanslijk
aangeslijmd	aanslijm
aangeslijmde	aanslijm
aangesloft	aanslof
aangeslofte	aanslof
aangeslopen	aansluip
aangesloten	aansluit
aangesmede	aansmeed
aangesmeed	aansmeed
aangesmeerd	aansmeer
aangesmeerde	aansmeer
aangesmeten	aansmijt
aangesnauwd	aansnauw
aangesnauwde	aansnauw
aangesneden	aansnijd
aangesneld	aansnel
aangesnelde	aansnel
aangesnoerd	aansnoer
aangesnoerde	aansnoer
aangesnord	aansnor
aangesnorde	aansnor
aangespannen	aanspan
aangespeeld	aanspeel
aangespeelde	aanspeel
aangespeet	aanspeet
aangespeld	aanspeld
aangespelde	aanspeld
aangespete	aanspeet
aangespijkerd	aanspijker
aangespijkerde	aanspijker
aangespoed	aanspoed
aangespoede	aanspoed
aangespoeld	aanspoel
aangespoelde	aanspoel
aangesponnen	aanspin
aangespoord	aanspoor
aangespoorde	aanspoor
aangesproken	aanspreek
aangesprongen	aanspring
aangespt	aangesp
aangespte	aangesp
aangespten	aangesp
aangestaan	aansta
aangestaard	aanstaar
aangestaarde	aanstaar
aangestampt	aanstamp
aangestampte	aanstamp
aangestapt	aanstap
aangestapte	aanstap
aangesteld	aanstel
aangestelde	aanstel
aangesterkt	aansterk
aangesterkte	aansterk
aangesteven	aanstijv
aangestevend	aansteven
aangestevende	aansteven
aangesticht	aansticht
aangestichte	aansticht
aangestiefeld	aanstiefel
aangestijfd	aanstijv
aangestijfde	aanstijv
aangestikt	aanstik
aangestikte	aanstik
aangestipt	aanstip
aangestipte	aanstip
aangestoken	aangestoken
aangestookt	aanstook
aangestookte	aanstook
aangestoomd	aanstoom
aangestoomde	aanstoom
aangestopt	aanstop
aangestopte	aanstop
aangestormd	aanstorm
aangestormde	aanstorm
aangestort	aanstort
aangestorte	aanstort
aangestorven	aansterv
aangestoten	aanstoot
aangestouwd	aanstouw
aangestouwde	aanstouw
aangestoven	aanstuiv
aangestrand	aanstrand
aangestrande	aanstrand
aangestreept	aanstreep
aangestreepte	aanstreep
aangestreken	aanstrijk
aangestrikt	aanstrik
aangestrikte	aanstrik
aangestrompeld	aanstrompel
aangestrompelde	aanstrompel
aangestroomd	aanstroom
aangestroomde	aanstroom
aangestuurd	aanstuur
aangestuurde	aanstuur
aangestuwd	aanstuw
aangestuwde	aanstuw
aangesukkeld	aansukkel
aangesukkelde	aansukkel
aangetakeld	aantakel
aangetakelde	aantakel
aangetapt	aantap
aangetapte	aantap
aangetast	aantast
aangetaste	aantast
aangeteeld	aanteel
aangeteelde	aanteel
aangetegen	aantijg
aangetekend	aangetekend
